==> Args
    - save_data : ../data/iwslt14
    - work_dir : PATH_TO_ACTOR_FOLDER/20210408-131727
    - nemb : 256
    - nhid : 256
    - natthid : 256
    - nlayer : 1
    - drope : 0.0
    - droph : 0.3
    - att_mode : dotprod
    - input_feed : False
    - seed : 1234
    - cuda : True
    - epochs : 30
    - train_bs : 2
    - valid_bs : 2
    - test_bs : 2
    - param_init : 0.1
    - optim : sgd
    - lr : 0.6
    - grad_clip : 5.0
    - start_decay : 0
    - lr_decay : 0.5
    - num_decay : 6
    - log_interval : 200
    - debug : False
    - test_only : False
    - beamsize : 5
    - ppl_anneal : False
==> Vocabulary
    - vocab size: src=32038, tgt=22811
    - special symbols [src]: <pad>=0, <unk>=1
    - special symbols [tgt]: <pad>=0, <unk>=1, <bos>=2, <eos>=3
==> Initalize actor
    - number of params: 20956443
=========================================================================================
| epoch   0 |  200/76674 batches | lr 0.600000 | ms/batch   7.8 | loss  7.37 | ppl  1593.07 
| epoch   0 |  400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  6.32 | ppl   556.37 
| epoch   0 |  600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  6.04 | ppl   418.67 
| epoch   0 |  800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.82 | ppl   336.64 
| epoch   0 | 1000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.64 | ppl   281.88 
| epoch   0 | 1200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.54 | ppl   255.82 
| epoch   0 | 1400/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  5.47 | ppl   238.62 
| epoch   0 | 1600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.48 | ppl   240.92 
| epoch   0 | 1800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.36 | ppl   212.85 
| epoch   0 | 2000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.32 | ppl   203.72 
| epoch   0 | 2200/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  5.28 | ppl   196.85 
| epoch   0 | 2400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.25 | ppl   189.75 
| epoch   0 | 2600/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  5.20 | ppl   182.00 
| epoch   0 | 2800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.23 | ppl   185.98 
| epoch   0 | 3000/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  5.16 | ppl   174.04 
| epoch   0 | 3200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.09 | ppl   162.75 
| epoch   0 | 3400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.01 | ppl   150.20 
| epoch   0 | 3600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.03 | ppl   152.51 
| epoch   0 | 3800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.09 | ppl   162.65 
| epoch   0 | 4000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.05 | ppl   155.54 
| epoch   0 | 4200/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.95 | ppl   140.82 
| epoch   0 | 4400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  5.01 | ppl   149.85 
| epoch   0 | 4600/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.97 | ppl   143.87 
| epoch   0 | 4800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.97 | ppl   144.17 
| epoch   0 | 5000/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.95 | ppl   140.64 
| epoch   0 | 5200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.90 | ppl   134.37 
| epoch   0 | 5400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.87 | ppl   130.51 
| epoch   0 | 5600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.93 | ppl   138.52 
| epoch   0 | 5800/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.89 | ppl   133.47 
| epoch   0 | 6000/76674 batches | lr 0.600000 | ms/batch   7.7 | loss  4.90 | ppl   134.02 
| epoch   0 | 6200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.84 | ppl   126.98 
| epoch   0 | 6400/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.83 | ppl   125.67 
| epoch   0 | 6600/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.86 | ppl   128.99 
| epoch   0 | 6800/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.83 | ppl   124.87 
| epoch   0 | 7000/76674 batches | lr 0.600000 | ms/batch   7.5 | loss  4.80 | ppl   120.98 
| epoch   0 | 7200/76674 batches | lr 0.600000 | ms/batch   7.6 | loss  4.77 | ppl   117.74 
